timestamp,scenario,name,method,url,http_status,business_code,elapsed_ms,degraded,dependency,message,fallback_reason,error
"2026-09-03 10:29:09.953 +0800","gateway-flow","gateway-search-api","GET","http://47.120.37.61:30081/api/search?keyword=Braised","200","200","31.08","","","success","",""
"2026-09-03 10:29:10.677 +0800","gateway-flow","gateway-search-api","GET","http://47.120.37.61:30081/api/search?keyword=Braised","200","200","120.02","","","success","",""
"2026-09-03 10:29:11.491 +0800","gateway-flow","gateway-search-api","GET","http://47.120.37.61:30081/api/search?keyword=Braised","429","429","193.4","","","系统繁忙，请稍后重试","",""
"2026-09-03 10:29:12.020 +0800","gateway-flow","gateway-search-api","GET","http://47.120.37.61:30081/api/search?keyword=Braised","200","200","29.75","","","success","",""
"2026-09-03 10:29:12.575 +0800","gateway-flow","gateway-search-api","GET","http://47.120.37.61:30081/api/search?keyword=Braised","200","200","45.65","","","success","",""
"2026-09-03 10:29:13.087 +0800","gateway-flow","gateway-search-api","GET","http://47.120.37.61:30081/api/search?keyword=Braised","200","200","36.18","","","success","",""
"2026-09-03 10:29:13.705 +0800","gateway-flow","gateway-search-api","GET","http://47.120.37.61:30081/api/search?keyword=Braised","200","200","122.36","","","success","",""
"2026-09-03 10:29:14.211 +0800","gateway-flow","gateway-search-api","GET","http://47.120.37.61:30081/api/search?keyword=Braised","429","429","5.22","","","系统繁忙，请稍后重试","",""
"2026-09-03 10:29:14.709 +0800","gateway-flow","gateway-search-api","GET","http://47.120.37.61:30081/api/search?keyword=Braised","200","200","27.82","","","success","",""
"2026-09-03 10:29:15.258 +0800","gateway-flow","gateway-search-api","GET","http://47.120.37.61:30081/api/search?keyword=Braised","200","200","38.01","","","success","",""
"2026-09-03 10:29:15.769 +0800","gateway-flow","gateway-search-api","GET","http://47.120.37.61:30081/api/search?keyword=Braised","429","429","4.34","","","系统繁忙，请稍后重试","",""
"2026-09-03 10:29:16.349 +0800","gateway-flow","gateway-search-api","GET","http://47.120.37.61:30081/api/search?keyword=Braised","200","200","70.78","","","success","",""
